model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,svamp,mathematical,AP,probas-mean-bl,0.5529777407646179
llama3-1_8B,svamp,mathematical,AP,probas-min-bl,0.5516014695167542
llama3-1_8B,svamp,mathematical,AP,token-sar-bl,0.51756352186203
llama3-1_8B,svamp,mathematical,AP,probas-mean,0.5960618853569031
llama3-1_8B,svamp,mathematical,AP,probas-min,0.5795012712478638
llama3-1_8B,svamp,mathematical,AP,token-sar,0.6003121733665466
llama3-1_8B,svamp,mathematical,SE,p-true-bl,0.47063806653022766
llama3-1_8B,svamp,mathematical,SE,p-true-allsteps,0.544212818145752
llama3-1_8B,svamp,mathematical,SE,p-true-keystep,0.525948703289032
llama3-1_8B,svamp,mathematical,SE,p-true-allkeywords,0.47030240297317505
llama3-1_8B,svamp,mathematical,SE,p-true-keykeywords,0.46679478883743286
llama3-1_8B,svamp,mathematical,SE,self-probing-bl,0.47837507724761963
llama3-1_8B,svamp,mathematical,SE,self-probing-allsteps,0.48581624031066895
llama3-1_8B,svamp,mathematical,SE,self-probing-keystep,0.5199927687644958
llama3-1_8B,svamp,mathematical,SE,self-probing-allkeywords,0.5601105690002441
llama3-1_8B,svamp,mathematical,SE,self-probing-keykeywords,0.5278829336166382
llama3-1_8B,2WikimhQA,logical,AP,probas-mean-bl,0.4985092878341675
llama3-1_8B,2WikimhQA,logical,AP,probas-min-bl,0.49915948510169983
llama3-1_8B,2WikimhQA,logical,AP,token-sar-bl,0.4892708361148834
llama3-1_8B,2WikimhQA,logical,AP,probas-mean,0.7594252824783325
llama3-1_8B,2WikimhQA,logical,AP,probas-min,0.7272772192955017
llama3-1_8B,2WikimhQA,logical,AP,token-sar,0.7636494040489197
llama3-1_8B,2WikimhQA,logical,SE,p-true-bl,0.5560919642448425
llama3-1_8B,2WikimhQA,logical,SE,p-true-allsteps,0.5659195780754089
llama3-1_8B,2WikimhQA,logical,SE,p-true-keystep,0.6004884839057922
llama3-1_8B,2WikimhQA,logical,SE,p-true-allkeywords,0.6216594576835632
llama3-1_8B,2WikimhQA,logical,SE,p-true-keykeywords,0.6215589642524719
llama3-1_8B,2WikimhQA,logical,SE,self-probing-bl,0.568796694278717
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allsteps,0.5002873539924622
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keystep,0.5359877347946167
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allkeywords,0.5490230321884155
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keykeywords,0.5575970411300659
llama3-1_8B,ASDiv,mathematical,AP,probas-mean-bl,0.5855779051780701
llama3-1_8B,ASDiv,mathematical,AP,probas-min-bl,0.5850105285644531
llama3-1_8B,ASDiv,mathematical,AP,token-sar-bl,0.5484009981155396
llama3-1_8B,ASDiv,mathematical,AP,probas-mean,0.627540111541748
llama3-1_8B,ASDiv,mathematical,AP,probas-min,0.6273346543312073
llama3-1_8B,ASDiv,mathematical,AP,token-sar,0.6373249888420105
llama3-1_8B,ASDiv,mathematical,SE,p-true-bl,0.45504993200302124
llama3-1_8B,ASDiv,mathematical,SE,p-true-allsteps,0.48269709944725037
llama3-1_8B,ASDiv,mathematical,SE,p-true-keystep,0.49267932772636414
llama3-1_8B,ASDiv,mathematical,SE,p-true-allkeywords,0.4440372884273529
llama3-1_8B,ASDiv,mathematical,SE,p-true-keykeywords,0.4417126774787903
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.5204578638076782
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.5034245848655701
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.4951857924461365
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.5169464349746704
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.5033617615699768
llama3-1_8B,gsm8k,mathematical,AP,probas-mean-bl,0.5913950204849243
llama3-1_8B,gsm8k,mathematical,AP,probas-min-bl,0.5916324853897095
llama3-1_8B,gsm8k,mathematical,AP,token-sar-bl,0.5582776665687561
llama3-1_8B,gsm8k,mathematical,AP,probas-mean,0.6394214630126953
llama3-1_8B,gsm8k,mathematical,AP,probas-min,0.634983479976654
llama3-1_8B,gsm8k,mathematical,AP,token-sar,0.6413105130195618
llama3-1_8B,gsm8k,mathematical,SE,p-true-bl,0.5262402892112732
llama3-1_8B,gsm8k,mathematical,SE,p-true-allsteps,0.5345581769943237
llama3-1_8B,gsm8k,mathematical,SE,p-true-keystep,0.5317435264587402
llama3-1_8B,gsm8k,mathematical,SE,p-true-allkeywords,0.5207947492599487
llama3-1_8B,gsm8k,mathematical,SE,p-true-keykeywords,0.5184120535850525
llama3-1_8B,gsm8k,mathematical,SE,self-probing-bl,0.5015723705291748
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allsteps,0.5198221206665039
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keystep,0.5249349474906921
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allkeywords,0.5019291639328003
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keykeywords,0.4977421164512634
