run,dataset,accuracy,num_correct,num_total
run_0,2WikimhQA,0.036649,21,573
run_0,hotpotQA,0.206405,1534,7432
run_0,gsm8k,0.376614,496,1317
run_0,svamp,0.587000,587,1000
run_0,ASDiv,0.656570,1474,2245
run_1,2WikimhQA,0.038786,23,593
run_1,hotpotQA,0.215192,1612,7491
run_1,gsm8k,0.372817,491,1317
run_1,svamp,0.566000,566,1000
run_1,ASDiv,0.665629,1497,2249
run_2,2WikimhQA,0.025000,14,560
run_2,hotpotQA,0.209227,1560,7456
run_2,gsm8k,0.378419,498,1316
run_2,svamp,0.556000,556,1000
run_2,ASDiv,0.665777,1496,2247
run_3,2WikimhQA,0.034417,18,523
run_3,hotpotQA,0.209771,1563,7451
run_3,gsm8k,0.379939,500,1316
run_3,svamp,0.574000,574,1000
run_3,ASDiv,0.669782,1505,2247
run_4,2WikimhQA,0.026834,15,559
run_4,hotpotQA,0.210424,1300,6178
run_4,gsm8k,0.387709,511,1318
run_4,svamp,0.553554,553,999
run_4,ASDiv,0.656584,1476,2248
