model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,svamp,mathematical,AP,probas-mean-bl,0.5544288754463196
llama3-1_8B,svamp,mathematical,AP,probas-min-bl,0.5508674383163452
llama3-1_8B,svamp,mathematical,AP,token-sar-bl,0.5103785395622253
llama3-1_8B,svamp,mathematical,AP,probas-mean,0.6127673387527466
llama3-1_8B,svamp,mathematical,AP,probas-min,0.6080812811851501
llama3-1_8B,svamp,mathematical,AP,token-sar,0.6191666722297668
llama3-1_8B,svamp,mathematical,SE,p-true-bl,0.4888070225715637
llama3-1_8B,svamp,mathematical,SE,p-true-allsteps,0.5431683659553528
llama3-1_8B,svamp,mathematical,SE,p-true-keystep,0.5256435871124268
llama3-1_8B,svamp,mathematical,SE,p-true-allkeywords,0.4617941081523895
llama3-1_8B,svamp,mathematical,SE,p-true-keykeywords,0.456565797328949
llama3-1_8B,svamp,mathematical,SE,self-probing-bl,0.5044729709625244
llama3-1_8B,svamp,mathematical,SE,self-probing-allsteps,0.5319163203239441
llama3-1_8B,svamp,mathematical,SE,self-probing-keystep,0.5298423171043396
llama3-1_8B,svamp,mathematical,SE,self-probing-allkeywords,0.5043337345123291
llama3-1_8B,svamp,mathematical,SE,self-probing-keykeywords,0.5406259894371033
llama3-1_8B,ASDiv,mathematical,AP,probas-mean-bl,0.5803646445274353
llama3-1_8B,ASDiv,mathematical,AP,probas-min-bl,0.5780388712882996
llama3-1_8B,ASDiv,mathematical,AP,token-sar-bl,0.5523148775100708
llama3-1_8B,ASDiv,mathematical,AP,probas-mean,0.638054609298706
llama3-1_8B,ASDiv,mathematical,AP,probas-min,0.6309573650360107
llama3-1_8B,ASDiv,mathematical,AP,token-sar,0.6462593078613281
llama3-1_8B,ASDiv,mathematical,SE,p-true-bl,0.45456254482269287
llama3-1_8B,ASDiv,mathematical,SE,p-true-allsteps,0.48079925775527954
llama3-1_8B,ASDiv,mathematical,SE,p-true-keystep,0.49669820070266724
llama3-1_8B,ASDiv,mathematical,SE,p-true-allkeywords,0.4401898980140686
llama3-1_8B,ASDiv,mathematical,SE,p-true-keykeywords,0.4407297372817993
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.519385039806366
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.5173965096473694
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.4999654293060303
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.4970998167991638
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.5230028033256531
llama3-1_8B,2WikimhQA,logical,AP,probas-mean-bl,0.5758280158042908
llama3-1_8B,2WikimhQA,logical,AP,probas-min-bl,0.5757928490638733
llama3-1_8B,2WikimhQA,logical,AP,token-sar-bl,0.5443974733352661
llama3-1_8B,2WikimhQA,logical,AP,probas-mean,0.5958421230316162
llama3-1_8B,2WikimhQA,logical,AP,probas-min,0.6027483940124512
llama3-1_8B,2WikimhQA,logical,AP,token-sar,0.6007751822471619
llama3-1_8B,2WikimhQA,logical,SE,p-true-bl,0.5446793437004089
llama3-1_8B,2WikimhQA,logical,SE,p-true-allsteps,0.5391825437545776
llama3-1_8B,2WikimhQA,logical,SE,p-true-keystep,0.5715996623039246
llama3-1_8B,2WikimhQA,logical,SE,p-true-allkeywords,0.5498590469360352
llama3-1_8B,2WikimhQA,logical,SE,p-true-keykeywords,0.5477096438407898
llama3-1_8B,2WikimhQA,logical,SE,self-probing-bl,0.5094079971313477
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allsteps,0.5852007865905762
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keystep,0.5144115686416626
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allkeywords,0.567653238773346
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keykeywords,0.49038055539131165
llama3-1_8B,gsm8k,mathematical,AP,probas-mean-bl,0.5447657108306885
llama3-1_8B,gsm8k,mathematical,AP,probas-min-bl,0.545795202255249
llama3-1_8B,gsm8k,mathematical,AP,token-sar-bl,0.5339998006820679
llama3-1_8B,gsm8k,mathematical,AP,probas-mean,0.6267380714416504
llama3-1_8B,gsm8k,mathematical,AP,probas-min,0.6024817824363708
llama3-1_8B,gsm8k,mathematical,AP,token-sar,0.6316344738006592
llama3-1_8B,gsm8k,mathematical,SE,p-true-bl,0.5013976693153381
llama3-1_8B,gsm8k,mathematical,SE,p-true-allsteps,0.5499277114868164
llama3-1_8B,gsm8k,mathematical,SE,p-true-keystep,0.5046002864837646
llama3-1_8B,gsm8k,mathematical,SE,p-true-allkeywords,0.5063142776489258
llama3-1_8B,gsm8k,mathematical,SE,p-true-keykeywords,0.5076484084129333
llama3-1_8B,gsm8k,mathematical,SE,self-probing-bl,0.5044299364089966
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allsteps,0.501712441444397
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keystep,0.5172562003135681
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allkeywords,0.5010887384414673
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keykeywords,0.5234520435333252
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean-bl,0.5508854985237122
llama3-1_8B,hotpotQA,mathematical,AP,probas-min-bl,0.557805061340332
llama3-1_8B,hotpotQA,mathematical,AP,token-sar-bl,0.515733003616333
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean,0.5884700417518616
llama3-1_8B,hotpotQA,mathematical,AP,probas-min,0.5949205160140991
llama3-1_8B,hotpotQA,mathematical,AP,token-sar,0.5880852937698364
llama3-1_8B,hotpotQA,mathematical,SE,p-true-bl,0.5685205459594727
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allsteps,0.5746239423751831
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keystep,0.5757476091384888
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allkeywords,0.598330020904541
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keykeywords,0.59774249792099
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-bl,0.5448054671287537
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allsteps,0.5386641025543213
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keystep,0.5273335576057434
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allkeywords,0.5347954034805298
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keykeywords,0.5262175798416138
