id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words
chal-1,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack. How much do you have to pay to buy each pack?,14,8,23,,
chal-2,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start. How much did the candy bar cost?,13,16,29,,
chal-3,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,10,9,20,7,
chal-4,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,16,45,,,
chal-5,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,1,1,,,
chal-6,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,20,17,31,,
chal-7,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now. How many action figures did he have initially on the shelf?,14,14,36,,
chal-8,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,22,11,21,21,
chal-9,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,16,18,18,17,
chal-10,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,30,25,,,
chal-11,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,10,16,25,,
chal-12,They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs. How many chairs do they have in the backyard?,15,25,9,,
chal-13,In a school there are 458 more girls than boys. If there are 692 girls. How many pupils are there in that school?,23,21,17,,
chal-14,After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet. How deep was the water?,23,27,17,,
