id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words,Step 6 Words,Step 7 Words
8981e1ce0bb011ebab90acde48001122,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,11,22,19,,,,
2ec440560bb011ebab90acde48001122,Who is the maternal grandfather of Antiochus X Eusebes?,11,19,18,,,,
2002bf0c0bb011ebab90acde48001122,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",15,19,23,,,,
c531e7560baf11ebab90acde48001122,Who is Marie Zéphyrine Of France's paternal grandmother?,8,17,21,,,,
7a1d9d7c0bb011ebab90acde48001122,Who is Cornelia (Wife Of Caesar)'s child-in-law?,9,10,14,14,,,
1869092c0bb011ebab90acde48001122,Who is the paternal grandfather of Taj Al-Dawla?,12,14,16,,,,
3705552a0bb011ebab90acde48001122,"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?",11,13,12,,,,
96fb4aee0baf11ebab90acde48001122,Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?,11,21,22,,,,
27e835ee0bb011ebab90acde48001122,"Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?",14,21,27,,,,
3972d2b60baf11ebab90acde48001122,"Who is Gaston, Duke Of Orléans's paternal grandmother?",10,15,16,,,,
32e50df00bb011ebab90acde48001122,Who is the father-in-law of Sophia Of Wittelsbach?,7,17,18,,,,
07388c7c0bb011ebab90acde48001122,"Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?",10,18,22,,,,
bc633e2c0baf11ebab90acde48001122,Who is Maria Luisa Of Savoy's father-in-law?,11,12,13,,,,
2b4bd5020baf11ebab90acde48001122,Who is the paternal grandfather of Kujō Yoritsugu?,6,6,15,,,,
94198d580bb011ebab90acde48001122,"Who is William Ii, Count Of Flanders's paternal grandmother?",12,21,23,,,,
97ce0ec00baf11ebab90acde48001122,Who is Henriette Of France (1727–1752)'s maternal grandfather?,10,19,22,,,,
5b637e060bb011ebab90acde48001122,"Who is Prince Nicolas, Duke Of Ångermanland's mother?",13,11,17,,,,
1a2188840bb011ebab90acde48001122,Who is the paternal grandmother of Princess Augusta Of Waldeck-Pyrmont?,13,19,18,,,,
e6688a7e0baf11ebab90acde48001122,Who is Philip Of Sicily's father?,10,8,10,,,,
77f41ab20bb011ebab90acde48001122,"Who is Edward De Vere, 17Th Earl Of Oxford's paternal grandfather?",20,19,30,,,,
30885e540bb011ebab90acde48001122,Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?,19,21,19,,,,
421b26d80bb011ebab90acde48001122,Who is the paternal grandmother of Archduchess Dolores Of Austria?,9,22,36,,,,
286321f00bb011ebab90acde48001122,"Who is the father of Beltrán Vélez De Guevara, Marquis Of Campo Real?",13,12,26,,,,
5d8037920bb011ebab90acde48001122,Who is the paternal grandmother of King Kang Of Zhou?,22,13,18,,,,
4c070b620bb011ebab90acde48001122,Who is the maternal grandmother of Felipe De Marichalar Y Borbón?,19,13,19,,,,
987e4ee80baf11ebab90acde48001122,Who is the father-in-law of Tsandzile Ndwandwe?,8,8,14,,,,
2ec36c440bb011ebab90acde48001122,"Who is the paternal grandfather of Richard Beauchamp, 1St Earl Of Worcester?",10,18,23,,,,
1734c9b60baf11ebab90acde48001122,Who is the mother-in-law of Lollia Paulina?,8,14,15,,,,
7de481100baf11ebab90acde48001122,"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",11,18,15,,,,
be0a16240baf11ebab90acde48001122,Who is the paternal grandmother of Prince William Of Hesse-Kassel?,8,18,19,,,,
772c5c660bb011ebab90acde48001122,"Who is George Fitzroy, 1St Duke Of Northumberland's stepmother?",10,17,22,,,,
122b64480baf11ebab90acde48001122,"Who is the paternal grandmother of Louis, Count Of Verdun?",16,18,21,,,,
ddacf7580baf11ebab90acde48001122,Who is the mother of Edward I Of England?,9,16,17,,,,
700dfeea0baf11ebab90acde48001122,Who is Sancho Ramírez's maternal grandfather?,14,15,15,19,,,
3068a40c0baf11ebab90acde48001122,Who is the paternal grandmother of Ingegerd Olofsdotter Of Sweden?,13,13,11,,,,
2c0d754e0bb011ebab90acde48001122,"Who is the paternal grandfather of Beatrice I, Abbess Of Quedlinburg?",18,23,24,,,,
08de5d000baf11ebab90acde48001122,"Who is the paternal grandmother of John Iii, Duke Of Cleves?",11,19,21,,,,
534cb9fe0baf11ebab90acde48001122,"Who is Charles D'Orléans, Duke Of Penthièvre's paternal grandfather?",19,20,24,,,,
1f3ea3b00bb011ebab90acde48001122,"Who is Joan, Countess Of Chiny's paternal grandfather?",8,20,20,,,,
1900f7600baf11ebab90acde48001122,"Who is Thomas Stafford, 3Rd Earl Of Stafford's father?",10,13,19,,,,
a0ae26f60baf11ebab90acde48001122,Who is the maternal grandfather of Adam Coleman Howard?,12,13,13,16,,,
