model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,2WikimhQA,logical,AP,probas-mean-bl,0.513719916343689
llama3-1_8B,2WikimhQA,logical,AP,probas-min-bl,0.5207213163375854
llama3-1_8B,2WikimhQA,logical,AP,token-sar-bl,0.43288543820381165
llama3-1_8B,2WikimhQA,logical,AP,probas-mean,0.5591230392456055
llama3-1_8B,2WikimhQA,logical,AP,probas-min,0.621640682220459
llama3-1_8B,2WikimhQA,logical,AP,token-sar,0.5826025605201721
llama3-1_8B,2WikimhQA,logical,SE,p-true-bl,0.5739037990570068
llama3-1_8B,2WikimhQA,logical,SE,p-true-allsteps,0.6571428775787354
llama3-1_8B,2WikimhQA,logical,SE,p-true-keystep,0.5197312831878662
llama3-1_8B,2WikimhQA,logical,SE,p-true-allkeywords,0.4374823272228241
llama3-1_8B,2WikimhQA,logical,SE,p-true-keykeywords,0.43239039182662964
llama3-1_8B,2WikimhQA,logical,SE,self-probing-bl,0.448161244392395
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allsteps,0.5588402152061462
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keystep,0.4034653306007385
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allkeywords,0.550000011920929
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keykeywords,0.5208627581596375
llama3-1_8B,ASDiv,mathematical,AP,probas-mean-bl,0.6162757873535156
llama3-1_8B,ASDiv,mathematical,AP,probas-min-bl,0.6139683723449707
llama3-1_8B,ASDiv,mathematical,AP,token-sar-bl,0.5748571753501892
llama3-1_8B,ASDiv,mathematical,AP,probas-mean,0.6476179361343384
llama3-1_8B,ASDiv,mathematical,AP,probas-min,0.6530734300613403
llama3-1_8B,ASDiv,mathematical,AP,token-sar,0.6654914617538452
llama3-1_8B,ASDiv,mathematical,SE,p-true-bl,0.44841495156288147
llama3-1_8B,ASDiv,mathematical,SE,p-true-allsteps,0.4810684621334076
llama3-1_8B,ASDiv,mathematical,SE,p-true-keystep,0.48531609773635864
llama3-1_8B,ASDiv,mathematical,SE,p-true-allkeywords,0.4366879463195801
llama3-1_8B,ASDiv,mathematical,SE,p-true-keykeywords,0.4343681335449219
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.5139316916465759
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.5390607714653015
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.5470427870750427
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.5185452699661255
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.5061236023902893
llama3-1_8B,svamp,mathematical,AP,probas-mean-bl,0.593092679977417
llama3-1_8B,svamp,mathematical,AP,probas-min-bl,0.595077395439148
llama3-1_8B,svamp,mathematical,AP,token-sar-bl,0.5408030152320862
llama3-1_8B,svamp,mathematical,AP,probas-mean,0.5846185684204102
llama3-1_8B,svamp,mathematical,AP,probas-min,0.5783178210258484
llama3-1_8B,svamp,mathematical,AP,token-sar,0.5950915217399597
llama3-1_8B,svamp,mathematical,SE,p-true-bl,0.47575172781944275
llama3-1_8B,svamp,mathematical,SE,p-true-allsteps,0.4756848216056824
llama3-1_8B,svamp,mathematical,SE,p-true-keystep,0.4600524306297302
llama3-1_8B,svamp,mathematical,SE,p-true-allkeywords,0.4215726852416992
llama3-1_8B,svamp,mathematical,SE,p-true-keykeywords,0.4287593364715576
llama3-1_8B,svamp,mathematical,SE,self-probing-bl,0.5201855897903442
llama3-1_8B,svamp,mathematical,SE,self-probing-allsteps,0.48499205708503723
llama3-1_8B,svamp,mathematical,SE,self-probing-keystep,0.5279703736305237
llama3-1_8B,svamp,mathematical,SE,self-probing-allkeywords,0.4986214339733124
llama3-1_8B,svamp,mathematical,SE,self-probing-keykeywords,0.5065562129020691
llama3-1_8B,gsm8k,mathematical,AP,probas-mean-bl,0.6337527632713318
llama3-1_8B,gsm8k,mathematical,AP,probas-min-bl,0.6349865198135376
llama3-1_8B,gsm8k,mathematical,AP,token-sar-bl,0.6036769151687622
llama3-1_8B,gsm8k,mathematical,AP,probas-mean,0.6199118494987488
llama3-1_8B,gsm8k,mathematical,AP,probas-min,0.6213537454605103
llama3-1_8B,gsm8k,mathematical,AP,token-sar,0.6218347549438477
llama3-1_8B,gsm8k,mathematical,SE,p-true-bl,0.5024051070213318
llama3-1_8B,gsm8k,mathematical,SE,p-true-allsteps,0.4909118711948395
llama3-1_8B,gsm8k,mathematical,SE,p-true-keystep,0.5065091848373413
llama3-1_8B,gsm8k,mathematical,SE,p-true-allkeywords,0.487367182970047
llama3-1_8B,gsm8k,mathematical,SE,p-true-keykeywords,0.4917282462120056
