id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words,Step 6 Words,Step 7 Words,Step 8 Words
nluds-0001,Seven red apples and two green apples are in the basket. How many apples are in the basket?,19,11,11,19,,,,
nluds-0002,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,12,24,,,,,,
nluds-0001,Seven red apples and two green apples are in the basket. How many apples are in the basket?,20,17,11,,,,,
nluds-0002,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,10,24,,,,,,
nluds-0003,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,11,11,22,,,,,
nluds-0004,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,14,14,27,,,,,
nluds-0005,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,22,20,,,,,,
nluds-0006,Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?,12,23,13,,,,,
nluds-0007,Sandra took six cups of coffee and Marcie took two cups of coffee. How many cups of coffee did Sandra and Marcie take in total?,13,13,32,,,,,
nluds-0008,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums. How many plums were added to the basket?,17,17,26,,,,,
nluds-0009,14 red plums and four green plums are in the basket. How many plums are in the basket?,22,19,,,,,,
nluds-0010,Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?,23,13,,,,,,
nluds-0011,46 apples were in the basket. 22 are red and the rest are green. How many apples are green?,14,13,35,,,,,
nluds-0012,Five red peaches and 14 green peaches are in the basket. How many peaches are in the basket?,12,10,21,,,,,
nluds-0013,20 peaches are in the basket. 25 more peaches are put in the basket. How many peaches are in the basket now?,15,13,21,,,,,
nluds-0014,Two marbles are in the basket. Two marbles are taken out of the basket. How many marbles are in the basket now?,17,27,,,,,,
nluds-0015,Eight balls were in the basket. Some of the balls were removed from the basket. Now there are six balls. How many balls were removed from the basket?,17,17,25,,,,,
nluds-0016,Some oranges were in the basket. Five oranges were taken from the basket. Now there are three oranges. How many oranges were in the basket before some of the oranges were taken?,13,13,23,,,,,
nluds-0017,Jake has six fewer peaches than Steven. Steven has 13 peaches. How many peaches does Jake have?,12,23,,,,,,
nluds-0018,David has zero fewer apples than Marin. Marin has three apples. How many apples does David have?,11,26,24,,,,,
nluds-0019,Jake has 34 fewer balls than Audrey. Audrey has 41 balls. How many balls does Jake have?,23,11,25,,,,,
nluds-0020,Brian has zero fewer oranges than Marcie. Marcie has 12 oranges. How many oranges does Brian have?,16,27,,,,,,
nluds-0021,2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?,14,17,14,,,,,
nluds-0022,You have 7 cookies and you ate 2 of them. How many cookies do you have left?,16,,,,,,,
nluds-0023,You have collected 7 crickets. How many more crickets do you need to collect to have 11 crickets?,12,13,16,12,,,,
nluds-0024,4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?,12,12,27,,,,,
nluds-0025,3 raccoons are playing in the woods. 2 go home to eat dinner. How many raccoons are left in the woods?,14,17,12,,,,,
nluds-0026,"1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too. How many pigeons are eating breadcrumbs now?",14,23,30,,,,,
nluds-0027,3 owls were sitting on the fence. 2 more owls joined them. How many owls are on the fence now?,25,19,,,,,,
nluds-0028,2 beavers were working on their home. 1 went for a swim. How many beavers are still working on their home?,21,25,20,,,,,
nluds-0029,2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?,19,15,20,,,,,
nluds-0031,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime. How much more?",16,13,15,,,,,
nluds-0032,"Mrs. Hilt found a quarter, 1 dime, and 2 nickels. How much money did she find?",11,10,11,23,,,,
nluds-0033,"Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?",32,19,,,,,,
nluds-0034,Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?,14,14,20,,,,,
nluds-0035,Mrs. Hilt made 5 Rice Krispie Treats. She used 8 large marshmallows and 10 mini marshmallows. How many marshmallows did she use altogether?,13,12,15,,,,,
nluds-0036,"At Mrs. Hilt's house, there was 29 inches of snow, and Brecknock Elementary School received 17 inches of snow. How much more snow did Mrs. Hilt's house have?",17,20,18,,,,,
nluds-0037,Mrs. Hilt has $10. She spends $3 on a toy truck and $2 on a pencil case. How much money does she have left?,10,21,30,,,,,
nluds-0038,Mrs. Hilt reads 5 books a day. How many books does she read in 3 days?,15,18,,,,,,
nluds-0039,Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?,20,38,,,,,,
nluds-0040,Mrs. Hilt saw 3 bugs eat two flowers each. How many flowers total did the bugs eat?,14,20,,,,,,
nluds-0041,Mrs. Hilt has 15 friends. She can only take 8 of her friends to the movies. How many friends can't go to the movies?,20,22,,,,,,
nluds-0042,"Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?",26,21,,,,,,
nluds-0043,Mrs. Hilt picked up a book that has 17 pages in it. She read 11 of the pages. How many pages did she have left to read?,25,23,,,,,,
nluds-0044,Mrs. Hilt had 15 cents. She bought a pencil for 11 cents. How much money did she have left?,17,15,24,,,,,
nluds-0045,Mrs. Hilt met 15 friends. Nine of the friends were carrying pears. The rest were carrying oranges. How many friends were carrying oranges?,20,19,19,,,,,
nluds-0046,Mrs. Hilt spent 25 cents on one caramel apple and 15 cents on one ice cream cone. How much more did the apple cost?,12,12,30,11,13,,,
nluds-0047,Mrs. Hilt bought 2 pizzas. Each pizza had 8 slices. How many total slices of pizza did she have?,15,21,18,,,,,
nluds-0048,Mrs. Hilt read 2 books per day. How many books did she read in one week?,18,15,28,,,,,
nluds-0049,Mrs. Hilt ate 5 apples every hour. How many apples had she eaten at the end of 3 hours?,34,17,29,,,,,
nluds-0050,Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it. How many pieces of candy did Mrs. Hilt give away?,16,15,33,,,,,
nluds-0051,Mary's mom is getting ready for Mary's birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons did she blow up in all?,19,18,26,,,,,
nluds-0052,"Shelby's teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more. How many gold stars did Shelby earn in all?",14,30,,,,,,
nluds-0053,The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday. How many pieces of litter did they pick up altogether?,14,16,10,,,,,
nluds-0054,Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?,13,11,25,,,,,
nluds-0055,Sammy has 9 math problems to do for homework. He has already finished 2 of them. How many math problems does Sammy have left?,15,21,29,,,,,
nluds-0056,"There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?",19,34,,,,,,
nluds-0057,There were 8 ducks swimming in the pond. 3 ducks flew away. How many ducks are still swimming in the pond?,22,14,,,,,,
nluds-0058,Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?,13,13,23,,,,,
nluds-0059,Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?,11,11,21,,,,,
