model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean-bl,0.5563140511512756
llama3-1_8B,hotpotQA,mathematical,AP,probas-min-bl,0.5613271594047546
llama3-1_8B,hotpotQA,mathematical,AP,token-sar-bl,0.5176132917404175
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean,0.5890210866928101
llama3-1_8B,hotpotQA,mathematical,AP,probas-min,0.5920618772506714
llama3-1_8B,hotpotQA,mathematical,AP,token-sar,0.590090274810791
llama3-1_8B,hotpotQA,mathematical,SE,p-true-bl,0.564254105091095
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allsteps,0.5594413876533508
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keystep,0.5644913911819458
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allkeywords,0.6007986068725586
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keykeywords,0.6011703610420227
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-bl,0.557032585144043
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allsteps,0.5301692485809326
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keystep,0.5295140147209167
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allkeywords,0.5414692759513855
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keykeywords,0.5335602164268494
llama3-1_8B,2WikimhQA,logical,AP,probas-mean-bl,0.5446994304656982
llama3-1_8B,2WikimhQA,logical,AP,probas-min-bl,0.542792558670044
llama3-1_8B,2WikimhQA,logical,AP,token-sar-bl,0.5176470279693604
llama3-1_8B,2WikimhQA,logical,AP,probas-mean,0.6245313286781311
llama3-1_8B,2WikimhQA,logical,AP,probas-min,0.5944085121154785
llama3-1_8B,2WikimhQA,logical,AP,token-sar,0.6318681240081787
llama3-1_8B,2WikimhQA,logical,SE,p-true-bl,0.45268261432647705
llama3-1_8B,2WikimhQA,logical,SE,p-true-allsteps,0.4749191701412201
llama3-1_8B,2WikimhQA,logical,SE,p-true-keystep,0.4591143727302551
llama3-1_8B,2WikimhQA,logical,SE,p-true-allkeywords,0.5310924053192139
llama3-1_8B,2WikimhQA,logical,SE,p-true-keykeywords,0.5333548784255981
llama3-1_8B,2WikimhQA,logical,SE,self-probing-bl,0.4681641757488251
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allsteps,0.505850076675415
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keystep,0.4732384979724884
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allkeywords,0.4140917956829071
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keykeywords,0.5491273403167725
llama3-1_8B,ASDiv,mathematical,AP,probas-mean-bl,0.5665063261985779
llama3-1_8B,ASDiv,mathematical,AP,probas-min-bl,0.5653537511825562
llama3-1_8B,ASDiv,mathematical,AP,token-sar-bl,0.5409702658653259
llama3-1_8B,ASDiv,mathematical,AP,probas-mean,0.6390213370323181
llama3-1_8B,ASDiv,mathematical,AP,probas-min,0.6315023899078369
llama3-1_8B,ASDiv,mathematical,AP,token-sar,0.6442949771881104
llama3-1_8B,ASDiv,mathematical,SE,p-true-bl,0.44682472944259644
llama3-1_8B,ASDiv,mathematical,SE,p-true-allsteps,0.47294700145721436
llama3-1_8B,ASDiv,mathematical,SE,p-true-keystep,0.5009846091270447
llama3-1_8B,ASDiv,mathematical,SE,p-true-allkeywords,0.4335683584213257
llama3-1_8B,ASDiv,mathematical,SE,p-true-keykeywords,0.4335899353027344
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.5293711423873901
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.5307940244674683
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.5301711559295654
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.5330842733383179
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.5213375687599182
llama3-1_8B,svamp,mathematical,AP,probas-mean-bl,0.588722288608551
llama3-1_8B,svamp,mathematical,AP,probas-min-bl,0.5858821272850037
llama3-1_8B,svamp,mathematical,AP,token-sar-bl,0.5530036091804504
llama3-1_8B,svamp,mathematical,AP,probas-mean,0.6246481537818909
llama3-1_8B,svamp,mathematical,AP,probas-min,0.6174493432044983
llama3-1_8B,svamp,mathematical,AP,token-sar,0.6344480514526367
llama3-1_8B,svamp,mathematical,SE,p-true-bl,0.5086681246757507
llama3-1_8B,svamp,mathematical,SE,p-true-allsteps,0.5328037142753601
llama3-1_8B,svamp,mathematical,SE,p-true-keystep,0.5191299915313721
llama3-1_8B,svamp,mathematical,SE,p-true-allkeywords,0.4758793115615845
llama3-1_8B,svamp,mathematical,SE,p-true-keykeywords,0.47019028663635254
llama3-1_8B,svamp,mathematical,SE,self-probing-bl,0.4832703173160553
llama3-1_8B,svamp,mathematical,SE,self-probing-allsteps,0.5416789650917053
llama3-1_8B,svamp,mathematical,SE,self-probing-keystep,0.5209665298461914
llama3-1_8B,svamp,mathematical,SE,self-probing-allkeywords,0.5204796195030212
llama3-1_8B,svamp,mathematical,SE,self-probing-keykeywords,0.5100134611129761
llama3-1_8B,gsm8k,mathematical,AP,probas-mean-bl,0.5778839588165283
llama3-1_8B,gsm8k,mathematical,AP,probas-min-bl,0.5781717300415039
llama3-1_8B,gsm8k,mathematical,AP,token-sar-bl,0.5473341345787048
llama3-1_8B,gsm8k,mathematical,AP,probas-mean,0.6043763756752014
llama3-1_8B,gsm8k,mathematical,AP,probas-min,0.5990808606147766
llama3-1_8B,gsm8k,mathematical,AP,token-sar,0.6098817586898804
llama3-1_8B,gsm8k,mathematical,SE,p-true-bl,0.48815298080444336
llama3-1_8B,gsm8k,mathematical,SE,p-true-allsteps,0.5196725726127625
llama3-1_8B,gsm8k,mathematical,SE,p-true-keystep,0.49331507086753845
llama3-1_8B,gsm8k,mathematical,SE,p-true-allkeywords,0.49758681654930115
llama3-1_8B,gsm8k,mathematical,SE,p-true-keykeywords,0.49418890476226807
llama3-1_8B,gsm8k,mathematical,SE,self-probing-bl,0.524020791053772
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allsteps,0.5126309394836426
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keystep,0.4946175813674927
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allkeywords,0.5189351439476013
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keykeywords,0.49716717004776
