id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words,Step 6 Words,Step 7 Words,Step 8 Words,Step 9 Words
5adddc985542992200553b6d,"Which band has more members, We Are the Ocean or The Dream Academy?",7,6,5,8,,,,,
5ac2c5b8554299657fa29041,The play Mamma Mia was produced by which British playwright?,9,9,4,5,5,6,,,
5adc0f7e5542996e685252c2,"Me. I Am Mariah... The Elusive Chanteuse, is the fourteenth studio album by American singer and songwriter Mariah Carey, the album consists of guest appearances including which American singer, songwriter, actor and record producer, and began creating music at age thirteen?",11,6,17,17,19,,,,
5abccb365542993a06baf969,What was the release date of one of the song in Taylor Swift's debut album which has a music video?,14,8,,,,,,,
5ae5fe385542996de7b71abe,Damariscotta Shell Midden Historic District includes which dump of oyster shells?,15,19,20,21,,,,,
5abe9dc75542994516f453df,"Naval Aviation Depot Alameda is a former United States Navy aviation depot which was located at Naval Air Station Alameda, was a United States Navy Naval Air Station, in Alameda, California, on San Francisco Bay, closed in which year?",12,8,9,9,,,,,
5a760d99554299109176e639,What pair of American dicephalic parapagus twins has a show that was brodcasted on BBC Three in April and May 2013?,13,8,8,26,,,,,
5a7a0e2c5542996c55b2dcf1, Gero Miesenböck is a physiology professor at what university that is a constituent college of Magdalen College?,17,17,,,,,,,
5ab3b336554299753aec59b1,"Which is from farther west, American University of Sharjah or Valparaiso University?",10,8,9,9,,,,,
5ae53ed255429960a22e029a,"Lerotholi Polytechnic Football Club is a football club based in Maseru, is the capital and largest city of where?",6,7,6,20,,,,,
5a8212de554299676cceb203,"John Francis Kitson, was an English cricketer and alumnus of which one of the constituent colleges of the University of Oxford in England and the fourth oldest college of the University?",17,11,15,10,,,,,
5ae5e24b5542996de7b71a5c,What if the official spelling of the suburb where Geding Lake is located?,9,7,14,,,,,,
5a8910d85542995153361291,"Which is the highest peak, Haramosh Peak or Siguang Ri? ",6,6,5,7,,,,,
5ae13ff25542997b2ef7d175,Pilot is the first episode of the drama developed by whom?,9,10,7,13,,,,,
5ab9fefd55429939ce03dc42,"Which Chinese city is located in the Jiangsu Province in East China, Suzhou or Kaiyuan, Liaoning?",11,11,13,16,10,,,,
5ab8ea8a5542991b5579f03c,Where did John McCarthy officiate his first UFC match? ,9,9,10,11,,,,,
5abcd55e55429965836004c4,"On which Island would you have found the 'Loop the Loop', a roller coaster consisting of two tracks and of which there are only three types?",7,6,5,8,,,,,
5a830f1055429966c78a6b1a,What percent of the Morila Godl Mine Company does the mining company formed in 2004 by a merger own?,9,10,9,5,5,21,,,
5ae79b555542993210983eac,"Which riots came after a confrontation between the Metropolitan Police and protesters in Lambeth, South London, England?",8,10,14,8,20,,,,
5a8a418e55429970aeb7027a,This 1988 American slasher film focuses on a fictional character who as a young boy who murders his older sister then returns home how many years later?,10,14,23,6,,,,,
5ae32edf5542991a06ce9947,"Who was the director of the 2015 American made for television comedy-drama thriller film in which the actress, who played Adrianna Tate-Duncan on ""90210"", starred?",11,15,12,13,,,,,
5abd30f95542993062266bcc,Which film director has won 9 primetime emmy awards Paul Sloane or Gregory Hoblit?,7,7,5,9,,,,,
5abcc18b55429959677d6ad1,are Quarto and Monopoly Junior both board games?,5,6,14,,,,,,
5a8bbf115542995e66a474f4,"Which one is based on Hernani, Der Schauspieldirektor or Ernani?",9,10,9,10,12,,,,
5ab65a3755429954757d324f,Maine State Route 161 runs from Fort Fairfield to a town located on which river ?,6,6,10,10,12,14,,,
5a7112055542994082a3e558,Both the Colorado River Aqueduct and the Cape Cod Canal are located in which country?,9,10,5,8,,,,,
5a8ce208554299585d9e3751,What team was Autralian cricketer Brad Haddin it's inaugural captain?,12,6,8,,,,,,
5ab7fa1b554299366779407f,Who produced the online reality tv series The Sex Factor featuring porn actress Lexi Belle?,8,21,11,17,,,,,
5adbdeed554299438c868cbb,"What is the name of this Irish singer-songwriter, musician, venture capitalist, businessman, and philanthropist, who wrote ""Love Is Blindness"" on the piano?",7,12,7,6,5,,,,
5a905ec355429933b8a204fa,"The producer of the film ""The Devil's Daughter"" is best known for his work in what subgenre of film?",13,8,9,11,18,,,,
5a8b891a55429949d91db5d1,What film with actor Israel Contreras used the Yucatec Maya language?,8,9,11,16,,,,,
5abc1ae05542993a06baf881,Spider-Man included the actor as Harry Osborn who had a role in what 2010 film?,15,9,5,10,,,,,
5ae26371554299495565da58,"As the youngest brother to a fictional character from the BBC soap opera ""EastEnders"", Jack Branning is played by what actor?",8,21,9,,,,,,
5ae1fcb45542997f29b3c1e9,"When was the singer of  ""Irish Heartbeat"" born? ",8,10,10,,,,,,
5a7b8c2c55429927d897bfe9,"Nico Constantine is an American music director that is known for his work with this rock band from Atlanta, Georgia?",7,10,15,12,6,,,,
5a7c83cf5542996dd594b949,What did Howard Burnham's brother inspire?,6,9,7,10,,,,,
5ac288465542990b17b153e4,which American comic-book limited series published by DC Comics was John Higgins a colourist for,14,13,7,13,,,,,
5ab2935e554299545a2cf998,Are Mike Patton and Andrew Roachford in the same industry?,7,7,18,11,,,,,
5abe355d5542993f32c2a08a,"Who released an album on August 15, 2017 and is from Ronkonkoma, New York?",15,7,15,,,,,,
5ae4fedb5542993aec5ec111,"Which star in Beneath the Valley of the Ultra-Vixens is a Mexican American film actress, exotic dancer, and porn star?",21,15,,,,,,,
5a8b0f0355429949d91db492,"Who wrote the novels on which a mecha anime series by Studio Fantasia is loosely based on, and whose writings were serialized in St Nicholas Magazine from December 1887?",7,10,13,17,,,,,
5a79d4d15542994bb94570e0,"Which band was formed first, Dubstar or Audioslave?",5,5,5,5,,,,,
5abd8ebf5542996e802b47cc,Abdelhalim Ouradi qualified for the Summer Olympics in what city?,12,15,10,10,,,,,
5ae49ae555429970de88d9d2,Are The Postal Service and At the Drive-In both punk rock bands?,9,8,10,,,,,,
5a86a4885542996432c571da,"Sir Frank James Fox was a journalist, soldier, author, campaigner and second son of a prominent British Whig statesman whose parliamentary career spanned how many years?",16,8,20,11,,,,,
5abafe6c5542992ccd8e7e9a,What company owns both WNEU and New England Cable News channels?,10,11,12,8,,,,,
5a72a5c15542991f9a20c551,"Which school was founded earlier, Western Michigan University or Pokhara University?",7,6,5,7,,,,,
5add5e8c5542992ae4cec52a,"When did the heavyweight boxing championship match, for which the Zaire 74 concert was intended to be a major promotional event, actually take place?  ",19,16,18,25,,,,,
5a7a1d5d5542996c55b2dd14,Which of the stars in El Capitán Malacara was one of the best-known Latin American movie stars of the 1940s and 1950s?,7,15,14,17,,,,,
5a89f5be5542993b751ca9c6,When did the film with an appearance from Lena Maria Jonna Olin begin production in Germany?,14,9,18,,,,,,
5a83bda85542990548d0b22d,What Milwaukee Bucks basketball player held themselves back a year in high school?,8,6,5,16,10,,,,
5abfe0825542997d64295906,Voruta was the capital city of what monarchy?,10,8,5,10,,,,,
