model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,gsm8k,mathematical,SE,p-true-bl,0.481
llama3-1_8B,gsm8k,mathematical,SE,p-true-allsteps,0.525
llama3-1_8B,gsm8k,mathematical,SE,p-true-keystep,0.482
llama3-1_8B,gsm8k,mathematical,SE,p-true-allkeywords,0.514
llama3-1_8B,gsm8k,mathematical,SE,p-true-keykeywords,0.519
llama3-1_8B,gsm8k,mathematical,SE,self-probing-bl,0.492
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allsteps,0.508
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keystep,0.519
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allkeywords,0.489
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keykeywords,0.505
llama3-1_8B,svamp,mathematical,SE,p-true-bl,0.515
llama3-1_8B,svamp,mathematical,SE,p-true-allsteps,0.6
llama3-1_8B,svamp,mathematical,SE,p-true-keystep,0.578
llama3-1_8B,svamp,mathematical,SE,p-true-allkeywords,0.55
llama3-1_8B,svamp,mathematical,SE,p-true-keykeywords,0.545
llama3-1_8B,hotpotQA,mathematical,SE,p-true-bl,0.622
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allsteps,0.522
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keystep,0.57
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allkeywords,0.627
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keykeywords,0.63
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-bl,0.542
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allsteps,0.53
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keystep,0.529
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allkeywords,0.56
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keykeywords,0.57
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.508
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.511
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.537
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.55
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.528
llama3-1_8B,2WikimhQA,logical,SE,p-true-bl,0.535
llama3-1_8B,2WikimhQA,logical,SE,p-true-allsteps,0.509
llama3-1_8B,2WikimhQA,logical,SE,p-true-keystep,0.543
llama3-1_8B,2WikimhQA,logical,SE,p-true-allkeywords,0.55
llama3-1_8B,2WikimhQA,logical,SE,p-true-keykeywords,0.577
llama3-1_8B,2WikimhQA,logical,SE,self-probing-bl,0.563
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allsteps,0.538
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keystep,0.517
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allkeywords,0.572
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keykeywords,0.582
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.508
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.511
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.537
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.504
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.528
